score,case,reasons,pdf
4,1955-02-6967352-20MiEOfCochise-N-M.txt,C:dur_meta=900.0s_vs_form=180.0s; E:hedges=11; F:location_mismatch,/Volumes/Expansion/data/1950s/1955-02-6967352-20MiEOfCochise-N-M.pdf
4,1956-12-6786302-Denver-Colorado.txt,C:dur_meta=5.0s_vs_form=7200.0s; E:hedges=7; F:location_mismatch,/Volumes/Expansion/data/1950s/1956-12-6786302-Denver-Colorado.pdf
4,1957-05-6790266-GreatFalls-Montana.txt,C:dur_meta=120.0s_vs_form=1200.0s; G:form='one'_vs_obj='two spherical silver objects',/Volumes/Expansion/data/1950s/1957-05-6790266-GreatFalls-Montana.pdf
4,1957-10-6972552-Almogordo-NewMexico.txt,C:dur_meta=1500.0s_vs_form=300.0s; E:hedges=24; F:location_mismatch,/Volumes/Expansion/data/1950s/1957-10-6972552-Almogordo-NewMexico.pdf
4,1957-10-7227704-Milwaukee-Wisconsin.txt,C:dur_meta=2700.0s_vs_form=180.0s; E:hedges=13; F:location_mismatch,/Volumes/Expansion/data/1950s/1957-10-7227704-Milwaukee-Wisconsin.pdf
4,1957-11-6781772-Waverly-Illinois.txt,B:witnesses_16_not_in_text; E:hedges=6,/Volumes/Expansion/data/1950s/1957-11-6781772-Waverly-Illinois.pdf
4,1957-11-6783202-MiamiBeach-Fla.txt,C:dur_meta=900.0s_vs_form=90.0s; E:hedges=7; F:location_mismatch,/Volumes/Expansion/data/1950s/1957-11-6783202-MiamiBeach-Fla.pdf
4,1957-11-7232817-DelRosa-California.txt,C:dur_meta=1620.0s_vs_form=90.0s; E:hedges=24; F:location_mismatch,/Volumes/Expansion/data/1950s/1957-11-7232817-DelRosa-California.pdf
4,1957-12-6970849-WofGibralter.txt,C:dur_meta=600.0s_vs_form=60.0s; E:hedges=6; F:location_mismatch,/Volumes/Expansion/data/1950s/1957-12-6970849-WofGibralter.pdf
4,1958-03-6964857-Dayton-Ohio.txt,C:dur_meta=300.0s_vs_form=60.0s; G:form='one'_vs_obj='three lights in the sky',/Volumes/Expansion/data/1950s/1958-03-6964857-Dayton-Ohio.pdf
4,1959-02-9079001-8-10MiNofPagelandandShawAFB-S-C.txt,C:dur_meta=300.0s_vs_form=30.0s; E:hedges=15; F:location_mismatch,/Volumes/Expansion/data/1950s/1959-02-9079001-8-10MiNofPagelandandShawAFB-S-C.pdf
4,1959-04-8405772-BetweenPortugal&Morocco.txt,B:witnesses_29_not_in_text; F:location_mismatch,/Volumes/Expansion/data/1950s/1959-04-8405772-BetweenPortugal&Morocco.pdf
4,1959-08-8409143-MobileBay-Alabama.txt,C:dur_meta=300.0s_vs_form=5.0s; E:hedges=9; F:location_mismatch,/Volumes/Expansion/data/1950s/1959-08-8409143-MobileBay-Alabama.pdf
4,1960-02-6970199-SanJuan-PuertoRico.txt,C:dur_meta=600.0s_vs_form=60.0s; E:hedges=10; F:location_mismatch,/Volumes/Expansion/data/1960s/1960-02-6970199-SanJuan-PuertoRico.pdf
4,1961-07-8694215-2240N15414WPACIFIC.txt,C:dur_meta=900.0s_vs_form=15.0s; E:hedges=6; F:location_mismatch,/Volumes/Expansion/data/1960s/1961-07-8694215-2240N15414WPACIFIC.pdf
4,1962-07-8681154-WestoverAFB-Massachusetts.txt,A:witnesses=17000; C:dur_meta=40.0s_vs_form=2400.0s,/Volumes/Expansion/data/1960s/1962-07-8681154-WestoverAFB-Massachusetts.pdf
4,1962-09-8724151-SouthernOhio.txt,C:dur_meta=600.0s_vs_form=20.0s; E:hedges=23; F:location_mismatch,/Volumes/Expansion/data/1960s/1962-09-8724151-SouthernOhio.pdf
4,1962-10-8726250-6Mile-SWPass-Mississippi.txt,C:dur_meta=900.0s_vs_form=45.0s; E:hedges=21; F:location_mismatch,/Volumes/Expansion/data/1960s/1962-10-8726250-6Mile-SWPass-Mississippi.pdf
4,1962-12-9316523-02-18N162-09W-Pacific-.txt,C:dur_meta=5.0s_vs_form=1200.0s; E:hedges=17; F:location_mismatch,/Volumes/Expansion/data/1960s/1962-12-9316523-02-18N162-09W-Pacific-.pdf
4,1963-01-9316555-NantucketPoint-LongIsland-NY.txt,C:dur_meta=20.0s_vs_form=28800.0s; E:hedges=10; F:location_mismatch,/Volumes/Expansion/data/1960s/1963-01-9316555-NantucketPoint-LongIsland-NY.pdf
4,1963-03-9316841-SouthernCalifornia.txt,C:dur_meta=180.0s_vs_form=900.0s; E:hedges=12; F:location_mismatch,/Volumes/Expansion/data/1960s/1963-03-9316841-SouthernCalifornia.pdf
4,1963-06-8662515-14-27N69-57E-IndianOcean-.txt,C:dur_meta=3.0s_vs_form=240.0s; E:hedges=8; F:location_mismatch,/Volumes/Expansion/data/1960s/1963-06-8662515-14-27N69-57E-IndianOcean-.pdf
4,1963-11-9736923-KindlyAFB-Bermuda.txt,C:dur_meta=15.0s_vs_form=600.0s; E:hedges=24; F:location_mismatch,/Volumes/Expansion/data/1960s/1963-11-9736923-KindlyAFB-Bermuda.pdf
4,1965-07-9075138-[ILLEGIBLE].txt,E:hedges=12; F:location_mismatch; G:form='one'_vs_obj='two disc-shaped objects in the sky',/Volumes/Expansion/data/1960s/1965-07-9075138-[ILLEGIBLE].pdf
4,1965-11-8676425-LakeErie-InCanada-.txt,B:witnesses_10_not_in_text; F:location_mismatch,/Volumes/Expansion/data/1960s/1965-11-8676425-LakeErie-InCanada-.pdf
4,1966-03-8663407-Aswego-NewYork.txt,E:hedges=15; F:location_mismatch; G:form='one'_vs_obj='two round objects emitting bluish-white ',/Volumes/Expansion/data/1960s/1966-03-8663407-Aswego-NewYork.pdf
4,1966-04-7094546-TruthorConsequences-NewMexico.txt,E:hedges=15; F:location_mismatch; G:form='one'_vs_obj='one then two oval-shaped unidentified ob',/Volumes/Expansion/data/1960s/1966-04-7094546-TruthorConsequences-NewMexico.pdf
4,1966-07-8724436-Kokomo-Indiana.txt,B:witnesses_12_not_in_text; E:hedges=11,/Volumes/Expansion/data/1960s/1966-07-8724436-Kokomo-Indiana.pdf
4,1966-09-8297442-EnglandAFB-La.txt,C:dur_meta=1800.0s_vs_form=30.0s; E:hedges=8; F:location_mismatch,/Volumes/Expansion/data/1960s/1966-09-8297442-EnglandAFB-La.pdf
4,1966-10-8297687-StoneHarbor-NewJersey.txt,E:hedges=12; F:location_mismatch; G:form='one'_vs_obj='one object resembling three triangles in',/Volumes/Expansion/data/1960s/1966-10-8297687-StoneHarbor-NewJersey.pdf
4,1966-11-8274195-[ILLEGIBLE].txt,E:hedges=37; F:location_mismatch; G:form='one'_vs_obj='three unidentified lights in the sky',/Volumes/Expansion/data/1960s/1966-11-8274195-[ILLEGIBLE].pdf
4,1967-10-7284044-LakeCharles-La.txt,C:dur_meta=600.0s_vs_form=60.0s; E:hedges=27; F:location_mismatch,/Volumes/Expansion/data/1960s/1967-10-7284044-LakeCharles-La.pdf
4,1968-07-7200019-[ILLEGIBLE].txt,C:dur_meta=180.0s_vs_form=10.0s; E:hedges=138; F:location_mismatch,/Volumes/Expansion/data/1960s/1968-07-7200019-[ILLEGIBLE].pdf
4,1968-08-7202791-Memphis-Tennessee.txt,B:witnesses_26_not_in_text; E:hedges=13,/Volumes/Expansion/data/1960s/1968-08-7202791-Memphis-Tennessee.pdf
4,1968-11-7170982-Bismark-NorthDakota.txt,E:hedges=12; F:location_mismatch; G:form='one'_vs_obj='two star-like light sources in the sky',/Volumes/Expansion/data/1960s/1968-11-7170982-Bismark-NorthDakota.pdf
4,xxxx-xx-8773449-Bakersfield-California.txt,B:witnesses_40_not_in_text; E:hedges=13,/Volumes/Expansion/data/19XXs/xxxx-xx-8773449-Bakersfield-California.pdf
4,xxxx-xx-8774681-41degrees05N719Degrees30W.txt,C:dur_meta=10.0s_vs_form=300.0s; E:hedges=6; F:location_mismatch,/Volumes/Expansion/data/19XXs/xxxx-xx-8774681-41degrees05N719Degrees30W.pdf
3,1948-10-6387484-GooseBay-Labrador.txt,C:dur_meta=240.0s_vs_form=1500.0s; E:hedges=6,/Volumes/Expansion/data/1940s/1948-10-6387484-GooseBay-Labrador.pdf
3,1949-07-6311208-Columbus-Ohio-417-.txt,E:hedges=6; G:form='one'_vs_obj='one or two round lights',/Volumes/Expansion/data/1940s/1949-07-6311208-Columbus-Ohio-417-.pdf
3,1950-07-9615263-Jacksonville-Fla.txt,B:witnesses_100_not_in_text,/Volumes/Expansion/data/1950s/1950-07-9615263-Jacksonville-Fla.pdf
3,1951-01-7005375-FtBenningGa.txt,C:dur_meta=30.0s_vs_form=1200.0s; F:location_mismatch,/Volumes/Expansion/data/1950s/1951-01-7005375-FtBenningGa.pdf
3,1951-01-7005516-OakRidge-Tenn.txt,C:dur_meta=1800.0s_vs_form=300.0s; E:hedges=6,/Volumes/Expansion/data/1950s/1951-01-7005516-OakRidge-Tenn.pdf
3,1951-02-7006388-CapeWalesAlaska.txt,C:dur_meta=7200.0s_vs_form=900.0s; F:location_mismatch,/Volumes/Expansion/data/1950s/1951-02-7006388-CapeWalesAlaska.pdf
3,1951-02-7006888-LaddAFB-Alaska.txt,C:dur_meta=5.0s_vs_form=720.0s; E:hedges=8,/Volumes/Expansion/data/1950s/1951-02-7006888-LaddAFB-Alaska.pdf
3,1951-08-7008360-SpokaneWashington.txt,C:dur_meta=180.0s_vs_form=1200.0s; F:location_mismatch,/Volumes/Expansion/data/1950s/1951-08-7008360-SpokaneWashington.pdf
3,1951-08-7008515-EllingtonAFB-Texas.txt,C:dur_meta=1800.0s_vs_form=240.0s; E:hedges=12,/Volumes/Expansion/data/1950s/1951-08-7008515-EllingtonAFB-Texas.pdf
3,1951-10-7010564-EllingtonAFB-Texas.txt,C:dur_meta=15.0s_vs_form=14400.0s; F:location_mismatch,/Volumes/Expansion/data/1950s/1951-10-7010564-EllingtonAFB-Texas.pdf
3,1951-10-7011175-St-CroixFalls-Wisconsin.txt,C:dur_meta=1800.0s_vs_form=120.0s; E:hedges=9,/Volumes/Expansion/data/1950s/1951-10-7011175-St-CroixFalls-Wisconsin.pdf
3,1951-10-7011649-BuenaVista-Colorado.txt,C:dur_meta=1800.0s_vs_form=20.0s; F:location_mismatch,/Volumes/Expansion/data/1950s/1951-10-7011649-BuenaVista-Colorado.pdf
3,1951-11-7011823-47N57-35W-Atlantic-.txt,C:dur_meta=900.0s_vs_form=180.0s; F:location_mismatch,/Volumes/Expansion/data/1950s/1951-11-7011823-47N57-35W-Atlantic-.pdf
3,1951-12-6308872-Buffalo-N-Y.txt,C:dur_meta=15.0s_vs_form=120.0s; F:location_mismatch,/Volumes/Expansion/data/1950s/1951-12-6308872-Buffalo-N-Y.pdf
3,1951-12-6309001-Keck-Kentucky.txt,C:dur_meta=300.0s_vs_form=10800.0s; E:hedges=18,/Volumes/Expansion/data/1950s/1951-12-6309001-Keck-Kentucky.pdf
3,1952-01-6310451-KOREA.txt,C:dur_meta=300.0s_vs_form=60.0s; E:hedges=6,/Volumes/Expansion/data/1950s/1952-01-6310451-KOREA.pdf
3,1952-04-6311719-Miami-Florida.txt,C:dur_meta=30.0s_vs_form=2.0s; E:hedges=9,/Volumes/Expansion/data/1950s/1952-04-6311719-Miami-Florida.pdf
3,1952-04-6312795-Dallas-Texas.txt,C:dur_meta=30.0s_vs_form=1200.0s; E:hedges=8,/Volumes/Expansion/data/1950s/1952-04-6312795-Dallas-Texas.pdf
3,1952-04-6313725-Fargo-NorthDakota.txt,C:dur_meta=900.0s_vs_form=120.0s; E:hedges=8,/Volumes/Expansion/data/1950s/1952-04-6313725-Fargo-NorthDakota.pdf
3,1952-05-9613455-Greenville-S-Carolina.txt,C:dur_meta=10.0s_vs_form=300.0s; E:hedges=11,/Volumes/Expansion/data/1950s/1952-05-9613455-Greenville-S-Carolina.pdf
3,1952-05-9613512-Mayagnez-PuertoRico.txt,C:dur_meta=6948000.0s_vs_form=1800.0s; F:location_mismatch,/Volumes/Expansion/data/1950s/1952-05-9613512-Mayagnez-PuertoRico.pdf
3,1952-07-7274454-HollomanAFB-NewMexico-1448-.txt,D:text_len=227; F:location_mismatch,/Volumes/Expansion/data/1950s/1952-07-7274454-HollomanAFB-NewMexico-1448-.pdf
3,1952-07-7481423-Portland-Oregon.txt,C:dur_meta=1920.0s_vs_form=5.0s; F:location_mismatch,/Volumes/Expansion/data/1950s/1952-07-7481423-Portland-Oregon.pdf
3,1952-09-6383087-SanAntonio-Texas.txt,C:dur_meta=600.0s_vs_form=60.0s; E:hedges=9,/Volumes/Expansion/data/1950s/1952-09-6383087-SanAntonio-Texas.pdf
3,1952-09-6383498-Rabat-Fr-Morocco.txt,A:witnesses=6000; E:hedges=7,/Volumes/Expansion/data/1950s/1952-09-6383498-Rabat-Fr-Morocco.pdf
3,1952-11-9169959-WASHINGTON-D-C.txt,C:dur_meta=1200.0s_vs_form=8.0s; E:hedges=59,/Volumes/Expansion/data/1950s/1952-11-9169959-WASHINGTON-D-C.pdf
3,1952-12-9170248-LADDAFB-ALASKA.txt,C:dur_meta=1800.0s_vs_form=150.0s; E:hedges=55,/Volumes/Expansion/data/1950s/1952-12-9170248-LADDAFB-ALASKA.pdf
3,1952-12-9170549-SANANTONIO-TEXAS.txt,C:dur_meta=10.0s_vs_form=120.0s; E:hedges=33,/Volumes/Expansion/data/1950s/1952-12-9170549-SANANTONIO-TEXAS.pdf
3,1953-01-9544858-Suwon-Korea.txt,C:dur_meta=600.0s_vs_form=5.0s; E:hedges=21,/Volumes/Expansion/data/1950s/1953-01-9544858-Suwon-Korea.pdf
3,1953-01-9545795-Stuttgart-Germany.txt,C:dur_meta=90.0s_vs_form=600.0s; E:hedges=6,/Volumes/Expansion/data/1950s/1953-01-9545795-Stuttgart-Germany.pdf
3,1953-02-9549651-Victorville-Calif.txt,C:dur_meta=180.0s_vs_form=900.0s; E:hedges=13,/Volumes/Expansion/data/1950s/1953-02-9549651-Victorville-Calif.pdf
3,1953-02-9551193-OKINAWA.txt,C:dur_meta=900.0s_vs_form=20.0s; E:hedges=6,/Volumes/Expansion/data/1950s/1953-02-9551193-OKINAWA.pdf
3,1953-02-9551580-Richmond-Va.txt,"E:hedges=7; G:form='one'_vs_obj='two circular, luminous objects'",/Volumes/Expansion/data/1950s/1953-02-9551580-Richmond-Va.pdf
3,1953-02-9551871-Olean-NewYork.txt,C:dur_meta=30.0s_vs_form=420.0s; E:hedges=14,/Volumes/Expansion/data/1950s/1953-02-9551871-Olean-NewYork.pdf
3,1953-02-9552688-LakeCharlesAFB-La.txt,C:dur_meta=12.0s_vs_form=120.0s; F:location_mismatch,/Volumes/Expansion/data/1950s/1953-02-9552688-LakeCharlesAFB-La.pdf
3,1953-04-6384595-SheavesCove-Newfoundland.txt,C:dur_meta=30.0s_vs_form=2.0s; E:hedges=23,/Volumes/Expansion/data/1950s/1953-04-6384595-SheavesCove-Newfoundland.pdf
3,1953-06-6385210-NorthKorea.txt,C:dur_meta=2700.0s_vs_form=240.0s; F:location_mismatch,/Volumes/Expansion/data/1950s/1953-06-6385210-NorthKorea.pdf
3,1953-08-6979042-Creola-Alabama.txt,C:dur_meta=10.0s_vs_form=180.0s; E:hedges=9,/Volumes/Expansion/data/1950s/1953-08-6979042-Creola-Alabama.pdf
3,1953-08-6979093-Satsuma-Alabama.txt,C:dur_meta=120.0s_vs_form=720.0s; E:hedges=37,/Volumes/Expansion/data/1950s/1953-08-6979093-Satsuma-Alabama.pdf
3,1953-09-6980012-RapidCity-SouthDakota.txt,C:dur_meta=7002000.0s_vs_form=1200.0s; F:location_mismatch,/Volumes/Expansion/data/1950s/1953-09-6980012-RapidCity-SouthDakota.pdf
3,1953-09-6980440-LakeCharles-Louisiana.txt,C:dur_meta=900.0s_vs_form=7200.0s; E:hedges=42,/Volumes/Expansion/data/1950s/1953-09-6980440-LakeCharles-Louisiana.pdf
3,1953-10-6980801-Harrisville-Michigan.txt,C:dur_meta=7.0s_vs_form=240.0s; E:hedges=13,/Volumes/Expansion/data/1950s/1953-10-6980801-Harrisville-Michigan.pdf
3,1953-12-6778994-MEDITERRANEANAREA.txt,F:location_mismatch; G:form='one'_vs_obj='multiple unidentified flying objects on ',/Volumes/Expansion/data/1950s/1953-12-6778994-MEDITERRANEANAREA.pdf
3,1954-01-6779499-BerlinGermany.txt,C:dur_meta=180.0s_vs_form=15.0s; F:location_mismatch,/Volumes/Expansion/data/1950s/1954-01-6779499-BerlinGermany.pdf
3,1954-03-6780601-Nouasseur-FrenchMorocco.txt,C:dur_meta=600.0s_vs_form=30.0s; E:hedges=26,/Volumes/Expansion/data/1950s/1954-03-6780601-Nouasseur-FrenchMorocco.pdf
3,1954-03-6780917-Seranton-Pennsylvania.txt,C:dur_meta=300.0s_vs_form=30.0s; E:hedges=7,/Volumes/Expansion/data/1950s/1954-03-6780917-Seranton-Pennsylvania.pdf
3,1954-03-6780965-HahnAB-Germany.txt,C:dur_meta=300.0s_vs_form=6.0s; E:hedges=6,/Volumes/Expansion/data/1950s/1954-03-6780965-HahnAB-Germany.pdf
3,1954-05-6781667-55UticaSt-Hamilton-NewYork.txt,C:dur_meta=300.0s_vs_form=30.0s; E:hedges=7,/Volumes/Expansion/data/1950s/1954-05-6781667-55UticaSt-Hamilton-NewYork.pdf
3,1954-06-8713990-NewYork-N-Y.txt,C:dur_meta=15.0s_vs_form=900.0s; F:location_mismatch,/Volumes/Expansion/data/1950s/1954-06-8713990-NewYork-N-Y.pdf
3,1954-06-8714244-IndianLake-Ohio.txt,C:dur_meta=900.0s_vs_form=180.0s; E:hedges=14,/Volumes/Expansion/data/1950s/1954-06-8714244-IndianLake-Ohio.pdf
3,1954-07-8714516-FairchildAFB-Washington.txt,C:dur_meta=360.0s_vs_form=3600.0s; E:hedges=10,/Volumes/Expansion/data/1950s/1954-07-8714516-FairchildAFB-Washington.pdf
3,1954-07-8714575-ClevelandHeights-Ohio.txt,C:dur_meta=30.0s_vs_form=900.0s; E:hedges=11,/Volumes/Expansion/data/1950s/1954-07-8714575-ClevelandHeights-Ohio.pdf
3,1954-08-8716134-Stavern-Norway.txt,B:witnesses_50_not_in_text,/Volumes/Expansion/data/1950s/1954-08-8716134-Stavern-Norway.pdf
3,1954-10-6957770-MONBRIDGE-SOUTHCAROLINA.txt,C:dur_meta=240.0s_vs_form=10.0s; E:hedges=7,/Volumes/Expansion/data/1950s/1954-10-6957770-MONBRIDGE-SOUTHCAROLINA.pdf
3,1954-10-8727265-KILLEEN-TEXAS.txt,C:dur_meta=180.0s_vs_form=900.0s; E:hedges=7,/Volumes/Expansion/data/1950s/1954-10-8727265-KILLEEN-TEXAS.pdf
3,1954-10-8727607-ENID-OKLAHOMA.txt,C:dur_meta=180.0s_vs_form=5.0s; E:hedges=11,/Volumes/Expansion/data/1950s/1954-10-8727607-ENID-OKLAHOMA.pdf
3,1954-11-6958296-40MiSE-SANJUAN-PR.txt,C:dur_meta=180.0s_vs_form=2.0s; F:location_mismatch,/Volumes/Expansion/data/1950s/1954-11-6958296-40MiSE-SANJUAN-PR.pdf
3,1954-11-6958717-Okinawa.txt,C:dur_meta=5868000.0s_vs_form=30.0s; E:hedges=12,/Volumes/Expansion/data/1950s/1954-11-6958717-Okinawa.pdf
3,1954-11-6960120-CORVALLIS-OREGON.txt,C:dur_meta=180.0s_vs_form=900.0s; E:hedges=8,/Volumes/Expansion/data/1950s/1954-11-6960120-CORVALLIS-OREGON.pdf
3,1954-12-6962969-Gulfport-Mississippi.txt,C:dur_meta=1200.0s_vs_form=30.0s; E:hedges=7,/Volumes/Expansion/data/1950s/1954-12-6962969-Gulfport-Mississippi.pdf
3,1954-12-6963303-PalmBeach-Florida.txt,C:dur_meta=8.0s_vs_form=300.0s; E:hedges=6,/Volumes/Expansion/data/1950s/1954-12-6963303-PalmBeach-Florida.pdf
3,1955-02-6970048-EdwardsAFB-California.txt,C:dur_meta=300.0s_vs_form=30.0s; E:hedges=10,/Volumes/Expansion/data/1950s/1955-02-6970048-EdwardsAFB-California.pdf
3,1955-05-6963391-Cheyenne-Wyoming.txt,C:dur_meta=10.0s_vs_form=180.0s; E:hedges=12,/Volumes/Expansion/data/1950s/1955-05-6963391-Cheyenne-Wyoming.pdf
3,1955-06-6966143-Dallas-Texas.txt,C:dur_meta=600.0s_vs_form=120.0s; E:hedges=23,/Volumes/Expansion/data/1950s/1955-06-6966143-Dallas-Texas.pdf
3,1955-07-6968816-MiraLoma-California.txt,E:hedges=10; G:form='one'_vs_obj='one or multiple unidentified bright obje',/Volumes/Expansion/data/1950s/1955-07-6968816-MiraLoma-California.pdf
3,1955-08-6971261-Rialto-California.txt,D:text_len=146; F:location_mismatch,/Volumes/Expansion/data/1950s/1955-08-6971261-Rialto-California.pdf
3,1955-09-7339351-MOUNTAINVIEW-CALIF.txt,C:dur_meta=3.0s_vs_form=60.0s; E:hedges=8,/Volumes/Expansion/data/1950s/1955-09-7339351-MOUNTAINVIEW-CALIF.pdf
3,1955-11-7339979-Cleveland-Ohio.txt,C:dur_meta=600.0s_vs_form=20.0s; F:location_mismatch,/Volumes/Expansion/data/1950s/1955-11-7339979-Cleveland-Ohio.pdf
3,1955-12-7340117-CARIBOU-MAINE.txt,C:dur_meta=15.0s_vs_form=480.0s; E:hedges=12,/Volumes/Expansion/data/1950s/1955-12-7340117-CARIBOU-MAINE.pdf
